Product Name,Product ID,Provider Name,Manufacture Date,Provider Price (USD),Taxes (USD),Tax Rate (%),Description,Product Sale
Laptop Pro X1,PRD-001,TechSource Inc.,2022-11-14,858.5,68.68,8,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Laptop Pro X1,PRD-001,TechSource Inc.,2022-12-08,862.05,43.1,5,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Laptop Pro X1,PRD-001,TechSource Inc.,2023-06-07,846.5,135.44,16,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Laptop Pro X1,PRD-001,TechSource Inc.,2023-06-07,799.67,167.93,21,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Laptop Pro X1,PRD-001,TechSource Inc.,2022-12-24,816.43,171.45,21,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Laptop Pro X1,PRD-001,TechSource Inc.,2023-10-23,865.88,69.27,8,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Laptop Pro X1,PRD-001,TechSource Inc.,2022-04-16,794.61,63.57,8,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Laptop Pro X1,PRD-001,TechSource Inc.,2022-06-27,843.22,177.08,21,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Laptop Pro X1,PRD-001,TechSource Inc.,2023-11-03,787.03,165.28,21,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Laptop Pro X1,PRD-001,TechSource Inc.,2023-10-06,831.67,174.65,21,"High-performance laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD, and 15.6 inch 4K display.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2023-08-01,13.11,1.57,12,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2023-11-29,13.38,2.14,16,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2023-10-21,12.91,2.07,16,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2022-11-27,13.28,2.52,19,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2022-11-20,12.12,0.61,5,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2023-04-26,12.59,1.26,10,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2022-10-09,12.84,1.28,10,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2023-06-04,12,1.44,12,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2023-04-08,11.94,1.19,10,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
Wireless Mouse M200,PRD-002,GlobalElectronics Ltd.,2022-10-21,12,2.52,21,"Ergonomic wireless mouse with 2.4GHz connectivity, 6 buttons, and 18-month battery life.",
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2022-04-03,22.66,3.63,16,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2023-01-29,22.22,3.56,16,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2022-02-12,22.19,4.66,21,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2023-08-09,22.76,2.28,10,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2023-09-12,22.26,1.78,8,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2022-03-05,22.19,4.66,21,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2022-12-18,23.71,1.19,5,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2023-06-01,22.75,1.14,5,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
